id,last_name,first_name,middle_name,agency,division,position
989, hill, christina, louise, los angeles superior court judge, , 
990, hill, brian, e, santa barbara superior court, anacapa division, judge
991, hill, brad, r., court of appeal, fifth appellate district, presiding justice
992, hilde, janet, adele, plumas superior court, department one, superior court judge
993, hight, robert, c, sacramento superior court superior court judge, , 
994, highberger, william, foster, superior court of the state of california for the county of los angeles, , superior court judge
995, higa, robert, june, superior court - los angeles judge, , 
996, hicks, lloyd, l., tulare county superior court, , judge
997, hickok, philip, h., judicial branch, los angeles superior court, judge
998, hess robert l., campaign finance, , superior court, los angeles county, judge
999, hersher, judy, holzer, superior court of california county of sacramento judge, , judge
1000, herscovitz, martin, larry, superior court of califormia low angeles, , judge of the superior court
1001, herrington, lois, haight, superior court department 10 judge, , 
1002, herriford, david, vincent, los angeles county superior court, , judge
1003, herrick, david, warren, lake county superior court, , judge
1004, hernandez, maria, daghllan, orange county superior court, , superior court judge
1005, hernandez, jorge, cruz, superor court of california county of riverside, banning branch, judge
1006, hernandez ii, helios, j., riverside superior court, , judge
1007, hernandez, george, c., superior court, alameda county, judge
1008, hernandez, esteban, , san diego superior court, n/a, judge of the superior court
1009, hermansen, gerald, , butte county superior court judge, , 
1010, herman, james, edward, superior court of the state of california, santa barbara superior court, superior court judge
1011, henry, margaret, sabina, los angeles superior court, , judge
1012, henninj, john, lynch, superior court judge, county of los angeles, 
1013, henderson, richard, james, mendocino county superior court, mendocino county, superior court judge
1014, heidelberger, candace, s., superior court of california county of nevada, , judge
1015, hegarty, patrick, james, los angeles superior court judge of the superior court, , 
1016, heeseman, rex, , los angeles superior court judge, , 
1017, hedstrom, stephen, owen, superior court of california county of lake, , superior court judge department 4
1018, hoace, david, j., superior court state of california, county of solano, superior court judge
1019, haynes, marcelita, valerie, los angeles superior court judge, , 
1020, haynes, brian, franklin, contra costa superior court, , superior court judge
1021, hayes william michael, , , superior court of california, county of orange, judge
1022, hayes, larry, e, superior court of california, county of monterey, judge
1023, hayes, judith, f., san diego superior court, n/a, judge of the superior court
1024, hayashi, dennis, w, superior court of california alameda county, , judge
1025, hawkins, james, stafford, superior court of california, state of california county of riverside, superior court judge
1026, hatchimonji, douglas, jun, superior courtcounty of orange, , judge of the superior court
1027, hashimoto, roy, , alameda county superior court, , judge
1028, harwin, michael, bruce, la superior court judge, , 
1029, harutunian iii, albert, theodore, san diego superior court, n/a, judge of the superior court
1030, harrison, arthur, allen, superior court of california-- county of san bernardino, fontana district, superior court judge
1031, harris, leland, b., los angeles superior court judge, , 
1032, harris, debra, , superior court, san bernardino county, judge
1033, harrell, arlan, la monte, superior court of california county of fresno, , superior court judge
1034, harrell (iii), alvin, mccoy, superior court of california, county of fresno, superior court judge
1035, harman, dodie, ann, superior court of san luis obispo county, , superior court judge
1036, harlan, susan, catherine, superior court judge, amador county, judicial officer
1037, hardie, rebecca, clyde, contra costa superior court/superior court judge, 725 court street, martinez ca 94553 judge
1038, hardcastle, allan, d, superior court of california, county of sonoma, judge
1039, harbin-forte, brenda, fay, alameda county superior court, , judge
1040, hara, kenneth, jay, stanislaus county superior court, , court commissioner
1041, hanson, sheila, fairchild, orange county superior court judge, , 
1042, hansen, ronald, william, state of california, merced superior court, judge
1043, hansen, kelly, lew, superior court of california county of riverside, southwest justice center, judge
1044, hansen, harry(h.ted), theodore, superior court sutter county, , judge
1045, hanoian, louis, r, san diego superior court, n/a, judge of the superior court
1046, hammock, randolph, martin, los angeles superior court, , judge
1047, hamlin, william, kent, superior court of california for the county of fresno, , superior court judge
1048, hamilton, jeffrey, y jr, fresno county superior court, civil division, judge
1049, halm, howard, lee, los angeles county superior court, , judge of the superior court
1050, haller, judith, l, court of appeal 4th district division 1 associate justice, n/a, 
1051, hallahan, maureen, f, san diego superior court, n/a, judge of the superior court
1052, hall, tamara, elaine, los angeles superior cart  judge, , 
1053, hall, stephen, m, superior court of california county of san mateo, , 
1054, hall, henry, j, superior court of the state of california, los angeles county, judge
1055, halgren, laura, w., san diego superior court, n/a, judge of the superior court
1056, haines charles, , f., san francisco superior court judge, , 
1057, haight, raymond, l., superior court san bernardino county, central district, superior court judge
1058, hahn, james, kenneth, superior court, county of los angeles, judge
1059, hahn, gary, r., los angeles superior court  judge, , 
1060, haerle, paul, raymond, court of appeal, first district, associate justice
1061, haehnle, garry, george, san diego superior court, n/a, judge of the superior court
1062, haakenson, paul, m., marin county superior court, , superior court judge
1063, gweon, helena, r., superior court of california county of sacramento judge, , 
1064, guzman, hector, m, superior court of ca, county of los angeles, judge of the superior court
1065, guy, denine, jeness, california superior court, county of santa cruz, judge
1066, gunn david, allen, , co. of riverside superior court, , 
1067, gullon, christian, r., los angeles county superior court judge, , 
1068, guiliani, richard, j, , , judge superior court
1069, guerrsro-daley, teresa, , superior court of california, santa clara co., judge
1070, guadagni, raymond, a., napa superior court, , superior court judge
1071, grover, adrienne, m, superior court of california for the county of monterey, , judge
1072, grossman, harlan, gene, superior court of contra costa county, , superior court judge
1073, groman, donna, ovigley, los angeles county superior court judge, kenyon juvenile justice center, 
1074, groch, michael, stuart, san diego superior court, n/a, judge of the superior court
1075, grimmer, dan, c, superior court of california, county of alameda, judge
1076, grimes, elizabeth, a, california court of appeal, second appelate, justice
1077, grillo, evelio, martin, alameda county superior court, , judge
1078, grilli, mary, ann, santa clara county superior court, superior court, superior court judge
1079, griffin, craig, l, orange county superior court, office no.21 su, superior court judge
1080, greenberg, victor, howard, los angeles superior court judge, , 
1081, green, terry, alfred, superior court, superior court state of california, of california county of los angeles
1082, green susan elizabeth, , g.rebecca khil, superior court of california, county of sutter, judge
1083, green, lesley, crawford, superior court judge, superior court state of california, california county of los
1084, green, alvin, ellis, san diego superior court, n/a, judge of the superior court
1085, gray ii, dudley, w, superior court  judge, los angeles county, county
1086, grandsaert, john, leo, superior court of california county of san mateo, department 11, judge
1087, gould-saltman, dianna, joy, superior court of california, county of los angeles, judge
1088, goul, richard, masson, superior court judge, , 
1089, gottlieb, david, andrew, fresno county superior court, , superior court judge
1090, gorelick, walter, lee, the superior court-county of tulare, tulare-pixley division, superior court judge
1091, gordon scott m., , , los angeles county superior court superior court judge, , 
1092, gordon, beatriz, maria garcia, superior court of california, county of orange, judge
1093, goodson, carol, boas, superior court, department 75, judge
1094, goodman, larry, jay, alameda county of superior court, , judge
1095, goodman, geoffrey, a., superior court of california county of sacramento, , judge
1096, goodman, allan, j, los angeles superior court, , judge
1097, goode, , , administrative office of the courts, judicial council family & juvenile law advisory committee, member
1098, gonzalez lomeli, george, r, los angeles superior court judge, , 
1099, gomez, gus, , superior court of california, county of los angeles, judge
1100, gomes, gene, m, court of appeal, fifth appellate district, associate justice
1101, goldstein, donna, fields, superior court, los angeles, judge
1102, goldstein, daniel, bruce, san diego superior court, n/a, judge of the superior court
1103, goldsmith erinest, ernest, , superior court of california, san francisco, judge
1104, goldsmith, christine, k., san diego superior court, n/a, judge of the superior court
1105, goldbese, honk, m, los angeles county superior court, los angeles county, judge
1106, goetz, reva, g, los angeles superior court, judge, 
1107, goethols, thomas, mkhall, superior county orange county   judge, , 
1108, gnoss, kenneth, joseph, sonoma county superior court, , judge
1109, glusman, robert, alan, butte county superior court, department 10, judge
1110, glennon, bert, , los angeles superior court   judge, , 
1111, glass, geoffrey, theodore, orange county superior court, , judge
1112, givens, debra, l., yuba county superior court, department 2, judge of the superior court
1113, giss, harvey, , superior court state of california los angeles co, , judge
1114, giorqi, loretta, margaret, san francisco superior court   judge, , 
1115, gini, eugene, s., placer county superior court, placer county, judge
1116, gilliard, maryanne, g., superior court of california, county of sacramento, judge
1117, gill, susan, marie, superior court of california, county of kern, judge of the superior court
1118, gill, david, m., san diego superior court, n/a, judge of the superior court
1119, gill, charles, r., san diego superior court, n/a, judge of the superior court
1120, gilbert, arthur, , court of appeal, second appellate district, justice
1121, gibson, john, b., superior court of california, san bernardino county barstow district, superior court judge
1122, getty, wendy, human resources g., superior court of california county of solano, , superior court judge
1123, george, stephanie, , superior court - orange county/superior court judge, , 
1124, gentry jr, william, charles, san diego superior court, n/a, judge of the superior court
1125, genesta, george, , superior court, los angeles county, judge
1126, gel found, davio, brian, los angeles superior court, , superior court judge
1127, gee, delbert, c., superior court of california, county of alameda, judge of the superior court
1128, geck, donna, d., santa barbara superior court superior court judge, , 
1129, gaul, gregory, stephen, superior court of california - county of shasta, , judge
1130, gastelum, john, charles, superior court - orange county superior court judge, central justice center, 
1131, gasdia, brian, gnawk, los angeles county superior court, southeast district, judge
1132, garza, thomas, steven, superior court of california, , superior court judge
1133, garza, donna, gunnell, superior court of california county of san bernardino, civil division, supervising superior court judge
1134, garymatthew j, , , superior court, sacramento county, judge
1135, garrett, ramona, joyce, superior court of california, county of solano, judge
1136, garret, ginger, e., superior court of sanlano obispoco, , 
1137, garcia, patricia, , san diego superior court, n/a, judge of the superior court
1138, garcia, michael, , los angeles superior court judge, , 
1139, garcia, marc, , state of california, merced superior court, judge
1140, garcia, arthur, alvarez, superior court of california, county of santa barbara, judge
1141, garber, bernard, j, superior court of california, county of san joaquin, judge of the superior court
1142, garaventa, john, , tehama county superior court, office 2, superior court judge
1143, gannonjr, robert, charles, superior court of california, orange county, judge
1144, gallon, stephen, jeffrey, superior court of california county of riverside, southwest justice center, judge
1145, gallagher, john, michael, superior court state of california position 3 judge, , 
1146, gallagher, william, daniel, superior court of california county of shasta, , judge
1147, gallagher, peter, l., san diego superior court, n/a, judge of the superior court
1148, gaffney, donald, fitzgerald, superior court-county of orange, , 
1149, gaffey, michael, joseph, superior court  sup.ct. judge, alameda county, 
1150, gaddis, larry, dean, placer co. superior court, , 
1151, gaard, janet, deputy, yolo superior court, , judge
1152, gaab, kimberly, anne, superior court of california county of fresno, , superior court judge
1153, fybel, richard, david, court of appeal, fourth district division three, associate justice
1154, fuller, mary, e, superior court, county of san bernardino/rancho cucamonga district, judge
1155, fujioka fred, j, , los angeles county superior court, judge, 
1156, fudenna, keith, h, superior court of california, fremont hall of justice, judge
1157, fruin richard l., jr., , los angeles superior court judge, , 
1158, froeberg, william, richard, superior court orange county, , superior court judge
1159, friedman, gary, t, superior court of california, county of kern, judge
1160, freixes, gracilea, carioao, superior court of california, county of los angeles, judge
1161, freer, timothy, francis, riverside county superior court, , superior court judge
1162, freeman, kenneth, richard, los angeles superior court, , 
1163, freeman, beth, labson, superior court of california county of san mateo, , judge
1164, freeland, john, daniel, stanislaus county superior court judge, , 
1165, freedman, robert, brandies, alameda superior court  judge of the superior court, , 
1166, frazier, ronald, f, san diego superior court, n/a, judge of the superior court
1167, frawley, timothy, michael, sacramento superior court, superior court, judge
1168, fraser, jeffrey, f., san diego superior court, n/a, judge of the superior court
1169, franson, donald, ross, court of appeal associate justice, fifth appellate district, 
1170, frangie, janet, m, san bernardino superior court, rancho cucamonga district civil division, superior court judge
1171, franchi, don, r, superior court of california county of san mateo, , judge
1172, fracchia, robert, charles, superior court of california, county of solano, judge of the superior court
1173, fox, elden, s., los angeles superior court, beverly hills branch, judge
1174, fournier, lori ann, , los angeles county superior court judge, , 
1175, foster, lisa, ann, san diego superior court, n/a, judge of the superior court
1176, foster, bryan, francis, superior court of california, county of san bernardino, superior court judge
1177, forcum, mark, richard, superior court of california county of san mateo, , judge
1178, foor, peter, betts, superior court, solano county, judge
1179, follett, william, h., superior court  judge, del norte county, 
1180, folan, maureen, ann, santa clara county superior court, , superior court judge
1181, foiles, robert, d, superior court of california county of san mateo, , judge
1182, flynn iii, john, laurence br, superior court orange county superior court judge, , 
1183, flynn, daniel, county of sharta administration office edward, shasta county superior court, shasta county, superior court judge
1184, flurer, michele, elizabeth, los angeles superior court, south district, judge
1185, flores, rogelio, roberto, santa barbara county superior court, santa maria division, superior court judge
1186, flores, poli(jr.), , superior court of california county of imperial, department 5, superior court judge
1187, flint, andrea, elizabeth, santa clara county superior court, , judge
1188, flinn, david, bernard, superior court, contra costa county, judge
1189, flier, madeleine, iris, court of appeal, second appellate district, justice
1190, fleuret, jules, e, superior court, san bernardino county, judge
1191, flanagan, hugh, , merced superior court, , judge
1192, fisher, tia, graves, los angeles county superior court judge, , 
1193, fisher, mac, ray, superior court of california, county of riverside, judge
1194, fisher, john, s, la superior court judge, , 
1195, fish, jonathan, stuart, superior court of california, orange county, judge of the superior court
1196, firmat, francisco, felipe, superior court orange county judge, , 
1197, florini, curtis, matthew, sacramento county superior court, , superior court judge
1198, filer, kelvin, dean, los angeles superior court, south central district, superior court judge
1199, fields, richard, t., superior court of california, county of riverside, judge
1200, fields, david, robert, los angeles superior court, , judge
1201, fielder, john, l., superior court of california, county of kern, judge
1202, fidler, larry, paul, los angeles superior court judge, , 
1203, feuer, gail, ruderman, los angeles superior court, , judge
1204, ferrari, gary, j., los angeles superior court, south district, judge of the superior court
1205, ferns, edward, anthony, los angeles superior court, , judge
1206, ferguson, jon, david, superior court of the state of california; county of san bernardino, rancho cucamonga (west valley) district, superior court judge
1207, ferguson darryl, b., , tulare county superior ct., dept 2, division judge
1208, fenstermacher, susanne, michele, superior court judge, contra costa county, 
1209, feng samuel, kenneth, , san francisco superior court - judge, , 
1210, fell, sheila, , superior court - orange county judge, central justice center, ice center
1211, felice, lee, p., superior court of california, county of kern, judge
1212, feldstern, daniel, b, los angeles superior court judge, los angeles county, 
1213, feinstein, katherine, barbara imy, san francisco superior court, , judge
1214, feffer, elizabeth, rose, los angeles superior court, , superior court judge
1215, feeney, john, t., superior court county of humboldt, , judge
1216, fannin, jill, catherine, contra costa county superior court judge, , 
1217, falls, thomas, c, superior court, east district, judge
1218, fall, timothy, lee, yolo superior court judge, , 
1219, fall, greta, curtis, sacramento superior court, , judge
1220, falcone, dewey, l., los angeles superior court judge, southeast district, 
1221, fain, gregory, t., superior court of california county of fresno, , superior court judge
1222, fahey, william, f, los angeles superior court, , judge
1223, eyherabide, eugenia, , san diego superior court, n/a, judge of the superior court
1224, exarhos, herbert, j., san diego superior court, n/a, judge of the superior court
1225, ewell 12 mar-1, christine, cleveland, los angeles county superior court, , judge
1226, evans, john, goodloe, riverside superior court, riverside county - indio branch, judge of the superior court
1227, etezadi, susan, lrene, superior court of california county of san mateo, , judge
1228, etcheverry, louis, p., superior court of california, county of kern, judge
1229, estes, christopher, gray, state of california superior court, county of los angeles, judge
1230, espinoza, peter, paul, los angeles superior court judge, , 
1231, espana, ana, lucilla, san diego superior court, n/a, judge of the superior court
1232, eskin, george, castelle, superior courtstate of california county of santa barbara, , judge
1233, escobedo, mildred, , los angeles superior court, department 62, 
1234, erwood, richard, allen, riverside superior court, county of riverside desert division, judge of superior court
1235, ervin, charles, william, san diego superior court, n/a, judge of the superior court
1236, ervin, charles, henry, sierra county superior court, , 
1237, errea, larry, a., superior court of california, county of kern, judge
1238, epstein, norman, l., court of appeal, second appellate district division four, presiding justice
1239, enright, kevin, a, san diego superior court, n/a, judge of the superior court
1240, emede, julia, ann, superior court of the state of california, county of santa clara seat #10, judge
1241, elwell, douglas, moore, superior court- county of san bernardino, office of presiding judge, presiding judge
1242, elswick, carol, , los angeles superior court judge, , 
1243, ellsworth, sherrill, a, riverside superior court, , superior court judge
1244, ellison, wayne, roy, fresno county superior court, , superior court judge
1245, ellison, laura, , superior court los angele s, southwest judicial district, district torrance
1246, ellis, john, bradley, solano superior court, , judge
1247, eller, stan, l., mono superior court judge, , 
1248, elias, harry, m., san diego superior court, n/a, judge of the superior court
1249, elias, emilie, h, l.a. superior court judge / judicial council member, , 
1250, elia, franklin, d., court of appeal, sixth appellate district, associate justice
1251, elfving, william, johnson, superior court, santa clara county, county
1252, einhorn, john, s., san diego superior court, n/a, judge of the superior court
1253, egerton, anne, harwood, los angeles superior court, , judge
1254, edwards drew, e., , los angeles superior court judge, , 
1255, edwards, anthony, clay, trinity county superior court, , judge
1256, edmon, lee, smalley, superior court of california county of los angeles judge, , 
1257, earl, laurie, michelle, superior court of california, county of sacramento, superior court judge
1258, dymant, , helen, los angeles superior court, , 
1259, dylina, steven, lawrence, superior court of california county of san mateo, , judge
1260, duryee, lynn, , superior court of california, county of marin, judge
1261, durenberger, marjorie, koller, superior court of california, county of sacramento, judge
1262, duong, le, jacqueline, superior court, santa clara county, judge
1263, dunning, kim, garlin, superior court (california) county of orange, n/a, superior court judge
1264, dunn, leslie, ann, los angeles superior court, , judge
1265, dunn, james, r., los angeles superior court, judge, 
1266, dulcich, judith, k., superior court of california, county of kern, judge
1267, dukes, robert, a., superior court, los angeles county, judge
1268, dugan 2012 feb 28 am 10:09, rebecca (becky), lynn, superior court of california, county of riverside, judge
1269, duffy, michael, l., superior court san luis obispo judge, , 
1270, duffy-lewis, maureen, 974-565, los angeles superior court judge, dept 38, 
1271, duffy, jacquelyn, henderson, san luis obispo superior court judge, , 
1272, duarte, elena, jeannette, california court of appeal, third appellate district, associate justice
1273, dutemple, eric, louren, sup. ct. co. of tuolumra prsiding judge, , 
1274, doyle, jonn, , superior court judge, , 
1275, doyle, john, porter, los angeles superior court, glendale bsanch court, superior court jud
1276, downing, marguerite, d., superior court of california, los angeles superior court, judge
1277, downing, david, bryan, superior court of california, county of riverside, judge
1278, dowling, sean, philip, superior court of california county of nevada, , judge
1279, dourbetas, nick, alex, superior court orange county, , judge
1280, dorado leo, leopoldo edward, ward, alameda county superior court, n/a, judge
1281, d'opal, faye, , marin county superior court state of california, , judge civil department
1282, donner 2012 feb 28 am 10:08, michael, bernard, superior court of california, county of riverside, judge
1283, donnelly, donal, b., superior court of california, county of imperial, judge
1284, dondero, robert, louis, court of appeal first appellate dist div. one, division one, associate justice
1285, donahue, patriek, henry, superior court - orange county  superior court   judge, , 
1286, dominguez, juan carlos, , los angeles county superior court, east district-pomona- north, judge
1287, dohi, gregory, arthur, los angeles superior court, northwest, judge
1288, dixon, karen, lee, superior court, , judge
1289, distaso, joseph, richard, stanislaus county superior court, office no. 3, superior court judge
1290, diesman, kathleen, o'connor, superior court of california, los angeles county, judge
1291, dickerson iii, frederick, paul, superior court of california county of riverside, southwest justice center, judge
1292, diaz jr, samuel, , superior court of california county of riverside, banning branch, judge
1293, diaz, rudolph, a., los angeles superior court, , 
1294, diaz, marta, s., superior court of california county of san mateo, , judge
1295, di loreto, joseph, e., los angeles county superior court, south district, judge
1296, di cesare, james, j., superior court county of orange judge, , 
1297, devore, david, l., superior court of california county of alpine  superior court judge, , 
1298, devanon, joseph, f, los angeles superior court   judge, , 
1299, devaney, francis, michael, san diego superior court, n/a, judge of the superior court
1300, detjen, jennifer, r.s., court of appeal, fifth district, justice
1301, detienne, dan, w., san bernardino county superior court, seat 6, superior court judge
1302, deshazer, ellen, carol, judge los angeles county superior court, , 
1303, desautels, tara, michele, state of california, superior court county of alameda, judge
1304, desantos, thomas, , superior court of california, county of kings, superior court judge
1305, denton, steven, r., san diego superior court, n/a, judge of the superior court
1306, denoce, kevin, g, superior court of california, county of ventura, judge
1307, demeo, bradford, john, superior court of california, county of sonoma, judicial officer
1308, delucchi, paul, attilio, state of california - superior court, alameda county, superior court judge
1309, dellostritto, michael, e., superior court of california, county of kern, judge
1310, delgado, roy, gorizalez, l.a. superior court, , judge
1311, del pozzo, ron, u, santa clara county superior court, n/a, superior court judge seat 16
1312, dekreon, gail, , san francisco superior court for the state of california, , judge
1313, deddeh, peter, c., san diego superior court, n/a, judge of the superior court
1314, de bellefeuille, denise, marie, superior court state of california, county of santa barbara, judge
1315, de alba, david, francisco, superior court of california county of sacramento, , judge
1316, dawson, betty, l., court of appeal, 5th district, associate justice
1317, davis, william, john, superior court, , judge
1318, davis, nancy, l., superior court of california judge, san francisco, 
1319, davis, lewis, , contra costa county superior court superior court judge, , 
1320, davis iii, leland, , superior court of california county of san mateo, , judge
1321, davis, keith, d., superior court of california county of san bernardino, , judge
1322, davis, john, michael, superior court of california county of riverside, southwest justice center, judge
1323, davilla jr., rnyonod, joseph, superior court santa clara county, superior court, court judge
1324, davidian, , g., superior court of the state of california, county of sacramento, superior court judge
1325, dauphine, susan, m, superior court of california judge, county of monteley, 
1326, daum, elliot, lee, state of california, sonoma county superior court, superior court - judge
1327, dau, ralph, w., los angeles county superior court, , judge
1328, dato, willaim, s., san diego superior court, n/a, judge of the superior court
1329, danielsen, david, j., san diego superior court, n/a, judge of the superior court
1330, daniels, david, scott, solano county superior court, department 6, superior court judge
1331, dandona, jean, marie, santa barbara superior court, , judge
1332, daigh, gary, e, superior court judge, , 
1333, dahlquist, robert, p., san diego superior court, n/a, judge of the superior court
1334, dabney, james, richard, los angeles superior court, , judge
1335, czuleger john, stephen, , los angeles superior court judge, , 
1336, curry, mark, steven, placer co. superior court judge, , 
1337, currier, donald, joseph, sacramento superior court, carol miller justice center, judge
1338, curiel, gonzalo, paul, san diego superior court, n/a, judge of the superior court
1339, cunningham, david, s.iii, superior court of the state of california, los angeles county, judge
1340, cummins, nancy, ashley, superior court judge, slanislaus county, 
1341, culver, julie, r, superior court of the state of california county of monterey, superior court of the state of california county of monterey, superior court judge
1342, culhane, kevin, r., superior court of california, county of sacramento, judge
1343, cuellar, armando, gnecco, superior court of alameda county judge, , 
1344, croskey, h., walter, court of appeal, second appellate district, justice
1345, croft, janice, c, los angeles superior court, , judge
1346, cretan, clifford, vahan, superior court san mateo co. superior court judge, , 
1347, crawford, jac, a, superior court judge, san luis unispo, 
1348, crandall, charles, stevens, superior court, county of san luis obispo, superior court judge
1349, cramin, corey, scott, superior court orange county, , superior court judge
1350, cram, joyce, marie, contra costa county superior court, , judge
1351, craddick, judith, sheryl, superior court, contra costa county, county judge
1352, cox, james, arlington, superior court, county of riverside, judge
1353, cowell, michael, a., los angeles, , superior court judge
1354, covarrubias, manuel, j, superior court of california county of ventura, , superior court judge
1355, counelis, steven, g, superior court county of riverside, , superior court judge
1356, coughlan, michael, d., san joaquin superior court, , superior court judge
1357, cotton, huey, penton, superior court, los angeles, judge
1358, cota, raymond, ayala, superior court, n/a, judge
1359, cortez, rodney, alan, san bernardino superior court, , judge
1360, corrigan, carol, a, california supreme court associate justice, , 
1361, corona, adolfo, martinez, superior court of california fresno county judge, , 
1362, cornell, dennis, a., court of appeal, fifth appellate district, associate justice
1363, cordova, ricardo, stanislaus county, stanklaus county superior court, , judge
1364, cope, mark, ashton, superior court of california, county of riverside, judge
1365, cookson, patricia, k, san diego superior court, n/a, judge of the superior court
1366, convey, michael, john, los angeles county superior court, northwest district, superior court judge
1367, conroy, ellen, gay, ventura county superior court, , superior court judge
1368, connolly, rebecca, , santa cruz county superior court, , superior court judge
1369, connolly, patrick, emmet, state of california, superior court, superior court judge
1370, connelly, lloyd, g., superior court of california, county of sacramento, judge
1371, conleyjohn dorsey, , bf, superior court orange county superior court judge, , 
1372, conklin, jonathan, butler, fresno county superior court, , judge
1373, condron, linda, ruth, superior court state of california, county of santa clara, judge
1374, comparet-cassani, joan, , los angeles superior court, south distrrict, judge
1375, collins, james, barbara liem, superior court  san francisco, , 
1376, colfax linda h, , , san francisco superior court superior court judge, , 
1377, coleman, donald, dean, superior court of california, county of ventura, superior court judge
1378, cole, lisa, hart, los angeles superior court, west district santa monica, 
1379, cole-hall, debra, ann, los angeles superior court judge, , 
1380, colaw, thierry, patrick, superior court/orange county, , 
1381, cohn, david, samuel, superior court of california county of san bernardino, civil division, superior court judge
1382, coffee, paul, h, court of appeal, second appellate district division six, justice
1383, coen, ronald, s., los angels superior court, , judge
1384, cody, tari, lynn, ventura county superior court, , judge
1385, codrington, carol, d., california court of appeal, fourth district division two, associate justice
1386, clover, suzette, , los angeles county superior court, , judge
1387, cloninger, james, p, superior court of california, ventura county, judge
1388, cline, richard, g., san diego superior court, n/a, judge of the superior court
1389, clay, charles, q, l.a. county superior court judge, , 
1390, clay, clarence, don, alameda county superior court, , judge
1391, claster, william, d., orange county superior court judge, , 
1392, clarke, george, woodman, san diego superior court, n/a, judge of the superior court
1393, clarke jr, edmund, willcox, los angles county superior court, central district, judge
1394, clark, thomas, s., superior court of california, county of kern, judge
1395, clark, l.michael, , superior court of california county of santa clara, , superior court judge
1396, clark, judith, crandall, superior court of califonia country of riverside, hemet branch, judge
1397, cissna, timothy, paul, humboldt superior court, , judge
1398, chung, lisa, munger, los angeles superior court judge, , 
1399, chung, charles (carlos), a., los angeles superior court, , superior court judge
1400, chuang, deborah, jane, superior court of california county of orange, , judge
1401, christianson, ronald, michael, superior court of california - county of san bernardino, , superior court judge
1402, christian, sarah, adams, superior court of california, riverside county, superior court judge
1403, christian deborah, l, , superior court, county of los angeles, judge
1404, chouteau, rene, auguste, sonoma county superior court, , judge
1405, chou, james, tsaiming, marin superior court, , judge
1406, cho, lawrence, h, los angeles county superior court, west district department s, judge
1407, chittick, hilary, ann, superior court of california county of fresno, , superior court judge
1408, chin, ming, w, california supreme court, state of california, associate judge
1409, chiarello, vincent, j., california superior court, santa clara county, superior court judge
1410, cheroske, john, joseph, los angeles superior court, south central, superior court judge
1411, chernus, roy, owen, superior court of california, county of marin, judge
1412, cheng, andrew, y.s., san francisco superior court judge, , 
1413, chavez, victoria, m., court of appeal, second appellate district, justice
1414, chevez, victor, e, la superior court   judge, , 
1415, chatman, sharon, ann, superior court county of santa clara, seat 7, judge
1416, chapin, sidney, p., superior court of california, county of kern, judge
1417, chang, shelleyanne, wai ling, superior court of california, sacramento county, judge
1418, chaney, victoria, gerrard, court of appeal, second appellate district, justice
1419, chandler, christopher, ray, superior court of california, county of sutter, judge
1420, chan, bruce, elliot, san francisco superior court judge, , 
1421, chalfant james c., james c., , the superior court, los angeles county, judge
1422, chaitin, ellen, barbara limp, sf superior court   judge, , 
1423, chaffee, david, r., superior court - county of orange, , judge
1424, cena, david, a, superior court of california, santa clara county, judge
1425, castellanos, cecilia, atricia, alameda county superior court, , judge of the superior court
1426, cassidy, michael, joseph, superior court orange county, , superior court judge
1427, casserly, timothy, m., san diego superior court, n/a, judge of the superior court
1428, carvill, wynne, s, alameda superior court   judge, , 
1429, castwright, joan, s, alameda county superior court - judge, , 
1430, carter, michael, douglas, los angeles county superior court, north central district, judge
1431, carter, marjorie, laird, superior court - county of orange, , superior court judge
1432, carrillo, debra, dee, orange county superior court, , judge
1433, cardoza, jane, , fresno county superior court, , superior court judge
1434, cantil-sakauye, tani, , california supreme court, , 
1435, cannon, william, s, san diego superior court, n/a, judge of the superior court
1436, canepa, theresa, jo, superior court of california, contra costa county, superior court judge
1437, candela, michaela, p., superior court of california county of butte, butte county, judge
1438, candee, roland, linton, superior court of california, sacramento county, superior court judge
1439, campos, yvonne, esperanza, san diego superior court, n/a, judge of the superior court
1440, cameron, victoria, elizabeth, riverside superior court, riverside county desert branch, judge of the superior court
1441, camacha, mike, , los angeles superior court superior court judge, , judge
1442, cain, thomas, willian, santa clara county superior court, , judge
1443, caietti, carolyn, m, san diego superior court, n/a, judge of superior court
1444, cahraman, thomas, harry, superior court of california riverside county, office 3, judge
1445, cadei, raymond, michael, superior court of california, sacramento california, judge
1446, cabrinha, neal, anthony, superior court of california county of santa clara, , judge
1447, cabrera, carlos, a., fresno county superior court, , judge
1448, bysshe, frederick, h., superior court of california, county of ventura, judge
1449, byrd, donald, c, superior court of california county of glenn, , judge
1450, byrd, christine, , los angeles superior court judge, , 
1451, butz, m., kathleen, court of appeal, third appellate district, associate justice
1452, butler, pamela, l., superior court of california judicial officer, county of montaray, 
1453, bush, michael, g., superior court of california, county of kern, judge
1454, busch, peter, , san francisco superior court, , judge
1455, burr, kenneth, mark, superior court state of california, county of alameda, judge
1456, burns robert, shane, , the superior court of the state of california, kings county superior court, judge
1457, burnham marquez, raymonda, k., superior court of california, county of kern, judge
1458, burlison, robert, alan, monterey superior court judge superior court, , 
1459, burke, earle, jeffrey, superior court of the state of california, san luis obispo county, judge
1460, burgess, rhonda, noveese, alameda county superior court judge, , 
